단어,길이,초성
이혼,2,ㅇㅎ
이후,2,ㅇㅎ
익다,2,ㅇㄷ
인간,2,ㅇㄱ
인격,2,ㅇㄱ
인공,2,ㅇㄱ
인구,2,ㅇㄱ
인근,2,ㅇㄱ
인기,2,ㅇㄱ
인도,2,ㅇㄷ
인류,2,ㅇㄹ
인물,2,ㅇㅁ
인분,2,ㅇㅂ
인사,2,ㅇㅅ
인삼,2,ㅇㅅ
인상,2,ㅇㅅ
인생,2,ㅇㅅ
인쇄,2,ㅇㅅ
인연,2,ㅇㅇ
인원,2,ㅇㅇ
인재,2,ㅇㅈ
인제,2,ㅇㅈ
인종,2,ㅇㅈ
인천,2,ㅇㅊ
인체,2,ㅇㅊ
인하,2,ㅇㅎ
인형,2,ㅇㅎ
일곱,2,ㅇㄱ
일기,2,ㅇㄱ
일단,2,ㅇㄷ
일대,2,ㅇㄷ
일등,2,ㅇㄷ
일반,2,ㅇㅂ
일본,2,ㅇㅂ
일부,2,ㅇㅂ
일상,2,ㅇㅅ
일생,2,ㅇㅅ
일손,2,ㅇㅅ
일식,2,ㅇㅅ
일쑤,2,ㅇㅆ
일월,2,ㅇㅇ
일자,2,ㅇㅈ
일정,2,ㅇㅈ
일종,2,ㅇㅈ
일찍,2,ㅇㅉ
일체,2,ㅇㅊ
일치,2,ㅇㅊ
일행,2,ㅇㅎ
일흔,2,ㅇㅎ
읽다,2,ㅇㄷ
잃다,2,ㅇㄷ
임금,2,ㅇㄱ
임무,2,ㅇㅁ
임시,2,ㅇㅅ
임신,2,ㅇㅅ
입구,2,ㅇㄱ
입국,2,ㅇㄱ
입다,2,ㅇㄷ
입대,2,ㅇㄷ
입력,2,ㅇㄹ
입맛,2,ㅇㅁ
입사,2,ㅇㅅ
입술,2,ㅇㅅ
입시,2,ㅇㅅ
입원,2,ㅇㅇ
입장,2,ㅇㅈ
입학,2,ㅇㅎ
잇다,2,ㅇㄷ
있다,2,ㅇㄷ
잊다,2,ㅇㄷ
자격,2,ㅈㄱ
자극,2,ㅈㄱ
자기,2,ㅈㄱ
자꾸,2,ㅈㄲ
자네,2,ㅈㄴ
자녀,2,ㅈㄴ
자다,2,ㅈㄷ
자동,2,ㅈㄷ
자랑,2,ㅈㄹ
자료,2,ㅈㄹ
자리,2,ㅈㄹ
자매,2,ㅈㅁ
자살,2,ㅈㅅ
자세,2,ㅈㅅ
자식,2,ㅈㅅ
자신,2,ㅈㅅ
자연,2,ㅈㅇ
자원,2,ㅈㅇ
자유,2,ㅈㅇ
자율,2,ㅈㅇ
자정,2,ㅈㅈ
자주,2,ㅈㅈ
자체,2,ㅈㅊ
자취,2,ㅈㅊ
자판,2,ㅈㅍ
작가,2,ㅈㄱ
작년,2,ㅈㄴ
작다,2,ㅈㄷ
작성,2,ㅈㅅ
작업,2,ㅈㅇ
작용,2,ㅈㅇ
작품,2,ㅈㅍ
잔디,2,ㅈㄷ
잔뜩,2,ㅈㄸ
잔치,2,ㅈㅊ
잘못,2,ㅈㅁ
잠깐,2,ㅈㄲ
잠바,2,ㅈㅂ
잠시,2,ㅈㅅ
잠옷,2,ㅈㅇ
잡다,2,ㅈㄷ
잡지,2,ㅈㅈ
장가,2,ㅈㄱ
장갑,2,ㅈㄱ
장관,2,ㅈㄱ
장군,2,ㅈㄱ
장난,2,ㅈㄴ
장남,2,ㅈㄴ
장래,2,ㅈㄹ
장례,2,ㅈㄹ
장르,2,ㅈㄹ
장마,2,ㅈㅁ
장면,2,ㅈㅁ
장모,2,ㅈㅁ
장미,2,ㅈㅁ
장비,2,ㅈㅂ
장사,2,ㅈㅅ
장소,2,ㅈㅅ
장수,2,ㅈㅅ
장식,2,ㅈㅅ
장인,2,ㅈㅇ
장점,2,ㅈㅈ
장차,2,ㅈㅊ
잦다,2,ㅈㄷ
재능,2,ㅈㄴ
재다,2,ㅈㄷ
재료,2,ㅈㄹ
재미,2,ㅈㅁ
재산,2,ㅈㅅ
재생,2,ㅈㅅ
재수,2,ㅈㅅ
재정,2,ㅈㅈ
재주,2,ㅈㅈ
재즈,2,ㅈㅈ
재판,2,ㅈㅍ
재학,2,ㅈㅎ
저거,2,ㅈㄱ
저것,2,ㅈㄱ
저곳,2,ㅈㄱ
저기,2,ㅈㄱ
저녁,2,ㅈㄴ
저런,2,ㅈㄹ
저리,2,ㅈㄹ
저번,2,ㅈㅂ
저울,2,ㅈㅇ
저자,2,ㅈㅈ
저쪽,2,ㅈㅉ
저축,2,ㅈㅊ
저편,2,ㅈㅍ
저희,2,ㅈㅎ
적극,2,ㅈㄱ
적다,2,ㅈㄷ
적성,2,ㅈㅅ
적용,2,ㅈㅇ
적응,2,ㅈㅇ
전개,2,ㅈㄱ
전공,2,ㅈㄱ
전구,2,ㅈㄱ
전국,2,ㅈㄱ
전기,2,ㅈㄱ
전날,2,ㅈㄴ
전달,2,ㅈㄷ
전망,2,ㅈㅁ
전문,2,ㅈㅁ
전반,2,ㅈㅂ
전부,2,ㅈㅂ
전선,2,ㅈㅅ
전설,2,ㅈㅅ
전세,2,ㅈㅅ
전시,2,ㅈㅅ
전용,2,ㅈㅇ
전자,2,ㅈㅈ
전쟁,2,ㅈㅈ
전주,2,ㅈㅈ
전철,2,ㅈㅊ
전체,2,ㅈㅊ
전통,2,ㅈㅌ
전혀,2,ㅈㅎ
전화,2,ㅈㅎ
전환,2,ㅈㅎ
전후,2,ㅈㅎ
절대,2,ㅈㄷ
절망,2,ㅈㅁ
절반,2,ㅈㅂ
절약,2,ㅈㅇ
절차,2,ㅈㅊ
젊다,2,ㅈㄷ
젊음,2,ㅈㅇ
점검,2,ㅈㄱ
점수,2,ㅈㅅ
점심,2,ㅈㅅ
점원,2,ㅈㅇ
점점,2,ㅈㅈ
점차,2,ㅈㅊ
접근,2,ㅈㄱ
접다,2,ㅈㄷ
접시,2,ㅈㅅ
접촉,2,ㅈㅊ
젓다,2,ㅈㄷ
정기,2,ㅈㄱ
정답,2,ㅈㄷ
정당,2,ㅈㄷ
정도,2,ㅈㄷ
정리,2,ㅈㄹ
정말,2,ㅈㅁ
정면,2,ㅈㅁ
정문,2,ㅈㅁ
정보,2,ㅈㅂ
정부,2,ㅈㅂ
정비,2,ㅈㅂ
정상,2,ㅈㅅ
정성,2,ㅈㅅ
정식,2,ㅈㅅ
정신,2,ㅈㅅ
정오,2,ㅈㅇ
정원,2,ㅈㅇ
정장,2,ㅈㅈ
정지,2,ㅈㅈ
정치,2,ㅈㅊ
젖다,2,ㅈㄷ
제공,2,ㅈㄱ
제목,2,ㅈㅁ
제발,2,ㅈㅂ
제법,2,ㅈㅂ
제비,2,ㅈㅂ
제사,2,ㅈㅅ
제시,2,ㅈㅅ
제안,2,ㅈㅇ
제약,2,ㅈㅇ
제의,2,ㅈㅇ
제일,2,ㅈㅇ
제자,2,ㅈㅈ
제작,2,ㅈㅈ
제출,2,ㅈㅊ
제품,2,ㅈㅍ
제한,2,ㅈㅎ
조각,2,ㅈㄱ
조개,2,ㅈㄱ
조건,2,ㅈㄱ
조금,2,ㅈㄱ
조기,2,ㅈㄱ
조깅,2,ㅈㄱ
조명,2,ㅈㅁ
조사,2,ㅈㅅ
조상,2,ㅈㅅ
조선,2,ㅈㅅ
조절,2,ㅈㅈ
조정,2,ㅈㅈ
조직,2,ㅈㅈ
조카,2,ㅈㅋ
존재,2,ㅈㅈ
졸다,2,ㅈㄷ
졸업,2,ㅈㅇ
졸음,2,ㅈㅇ
좁다,2,ㅈㄷ
종교,2,ㅈㄱ
종로,2,ㅈㄹ
종류,2,ㅈㄹ
종이,2,ㅈㅇ
종일,2,ㅈㅇ
종종,2,ㅈㅈ
종합,2,ㅈㅎ
좋다,2,ㅈㄷ
좋아,2,ㅈㅇ
좌석,2,ㅈㅅ
좌우,2,ㅈㅇ
죄인,2,ㅈㅇ
주거,2,ㅈㄱ
주년,2,ㅈㄴ
주다,2,ㅈㄷ
주로,2,ㅈㄹ
주름,2,ㅈㄹ
주말,2,ㅈㅁ
주먹,2,ㅈㅁ
주문,2,ㅈㅁ
주민,2,ㅈㅁ
주방,2,ㅈㅂ
주변,2,ㅈㅂ
주부,2,ㅈㅂ
주사,2,ㅈㅅ
주소,2,ㅈㅅ
주스,2,ㅈㅅ
주식,2,ㅈㅅ
주요,2,ㅈㅇ
주위,2,ㅈㅇ
주의,2,ㅈㅇ
주인,2,ㅈㅇ
주일,2,ㅈㅇ
주장,2,ㅈㅈ
주제,2,ㅈㅈ
주차,2,ㅈㅊ
주택,2,ㅈㅌ
주한,2,ㅈㅎ
죽다,2,ㅈㄷ
죽음,2,ㅈㅇ
준비,2,ㅈㅂ
줄곧,2,ㅈㄱ
줄기,2,ㅈㄱ
줄다,2,ㅈㄷ
줍다,2,ㅈㄷ
중간,2,ㅈㄱ
중국,2,ㅈㄱ
중년,2,ㅈㄴ
중단,2,ㅈㄷ
중독,2,ㅈㄷ
중반,2,ㅈㅂ
중부,2,ㅈㅂ
중세,2,ㅈㅅ
중순,2,ㅈㅅ
중식,2,ㅈㅅ
중심,2,ㅈㅅ
중앙,2,ㅈㅇ
중요,2,ㅈㅇ
쥐다,2,ㅈㄷ
즉석,2,ㅈㅅ
즉시,2,ㅈㅅ
증가,2,ㅈㄱ
증거,2,ㅈㄱ
증권,2,ㅈㄱ
증상,2,ㅈㅅ
증세,2,ㅈㅅ
지각,2,ㅈㄱ
지갑,2,ㅈㄱ
지경,2,ㅈㄱ
지구,2,ㅈㄱ
지금,2,ㅈㄱ
지급,2,ㅈㄱ
지능,2,ㅈㄴ
지다,2,ㅈㄷ
지대,2,ㅈㄷ
지도,2,ㅈㄷ
지방,2,ㅈㅂ
지붕,2,ㅈㅂ
지시,2,ㅈㅅ
지식,2,ㅈㅅ
지역,2,ㅈㅇ
지원,2,ㅈㅇ
지위,2,ㅈㅇ
지적,2,ㅈㅈ
지점,2,ㅈㅈ
지지,2,ㅈㅈ
지진,2,ㅈㅈ
지출,2,ㅈㅊ
지폐,2,ㅈㅍ
지하,2,ㅈㅎ
지혜,2,ㅈㅎ
직선,2,ㅈㅅ
직업,2,ㅈㅇ
직원,2,ㅈㅇ
직장,2,ㅈㅈ
직전,2,ㅈㅈ
직접,2,ㅈㅈ
직후,2,ㅈㅎ
진급,2,ㅈㄱ
진단,2,ㅈㄷ
진동,2,ㅈㄷ
진로,2,ㅈㄹ
진료,2,ㅈㄹ
진리,2,ㅈㄹ
진실,2,ㅈㅅ
진심,2,ㅈㅅ
진짜,2,ㅈㅉ
진찰,2,ㅈㅊ
진출,2,ㅈㅊ
진통,2,ㅈㅌ
진행,2,ㅈㅎ
질문,2,ㅈㅁ
질병,2,ㅈㅂ
질서,2,ㅈㅅ
질적,2,ㅈㅈ
짐작,2,ㅈㅈ
집다,2,ㅈㄷ
집단,2,ㅈㄷ
집안,2,ㅈㅇ
집중,2,ㅈㅈ
짓다,2,ㅈㄷ
짙다,2,ㅈㄷ
짚다,2,ㅈㄷ
짜다,2,ㅉㄷ
짜증,2,ㅉㅈ
짧다,2,ㅉㄷ
쫓다,2,ㅉㄷ
찌개,2,ㅉㄱ
찌다,2,ㅉㄷ
찍다,2,ㅉㄷ
찢다,2,ㅉㄷ
차남,2,ㅊㄴ
차다,2,ㅊㄷ
차량,2,ㅊㄹ
차례,2,ㅊㄹ
차림,2,ㅊㄹ
차마,2,ㅊㅁ
차별,2,ㅊㅂ
차선,2,ㅊㅅ
차이,2,ㅊㅇ
차차,2,ㅊㅊ
차창,2,ㅊㅊ
차츰,2,ㅊㅊ
착각,2,ㅊㄱ
찬물,2,ㅊㅁ
찬성,2,ㅊㅅ
참가,2,ㅊㄱ
참다,2,ㅊㄷ
참새,2,ㅊㅅ
참석,2,ㅊㅅ
참여,2,ㅊㅇ
참외,2,ㅊㅇ
참조,2,ㅊㅈ
찻잔,2,ㅊㅈ
창가,2,ㅊㄱ
창고,2,ㅊㄱ
창구,2,ㅊㄱ
창문,2,ㅊㅁ
창밖,2,ㅊㅂ
창작,2,ㅊㅈ
창조,2,ㅊㅈ
찾다,2,ㅊㄷ
채널,2,ㅊㄴ
채소,2,ㅊㅅ
채점,2,ㅊㅈ
책방,2,ㅊㅂ
책상,2,ㅊㅅ
책임,2,ㅊㅇ
처녀,2,ㅊㄴ
처리,2,ㅊㄹ
처벌,2,ㅊㅂ
처음,2,ㅊㅇ
처지,2,ㅊㅈ
천국,2,ㅊㄱ
천둥,2,ㅊㄷ
천장,2,ㅊㅈ
천재,2,ㅊㅈ
철도,2,ㅊㄷ
철학,2,ㅊㅎ
첫날,2,ㅊㄴ
첫째,2,ㅊㅉ
청년,2,ㅊㄴ
청소,2,ㅊㅅ
청춘,2,ㅊㅊ
체력,2,ㅊㄹ
체온,2,ㅊㅇ
체육,2,ㅊㅇ
체조,2,ㅊㅈ
체중,2,ㅊㅈ
체험,2,ㅊㅎ
초기,2,ㅊㄱ
초대,2,ㅊㄷ
초반,2,ㅊㅂ
초밥,2,ㅊㅂ
초보,2,ㅊㅂ
초순,2,ㅊㅅ
초원,2,ㅊㅇ
초점,2,ㅊㅈ
초청,2,ㅊㅊ
촛불,2,ㅊㅂ
총각,2,ㅊㄱ
총리,2,ㅊㄹ
총장,2,ㅊㅈ
촬영,2,ㅊㅇ
최고,2,ㅊㄱ
최근,2,ㅊㄱ
최대,2,ㅊㄷ
최상,2,ㅊㅅ
최선,2,ㅊㅅ
최소,2,ㅊㅅ
최신,2,ㅊㅅ
최악,2,ㅊㅇ
최저,2,ㅊㅈ
최종,2,ㅊㅈ
최초,2,ㅊㅊ
최후,2,ㅊㅎ
추가,2,ㅊㄱ
추다,2,ㅊㄷ
추석,2,ㅊㅅ
추억,2,ㅊㅇ
추위,2,ㅊㅇ
추진,2,ㅊㅈ
추천,2,ㅊㅊ
추측,2,ㅊㅊ
축구,2,ㅊㄱ
축소,2,ㅊㅅ
축제,2,ㅊㅈ
축하,2,ㅊㅎ
출구,2,ㅊㄱ
출국,2,ㅊㄱ
출근,2,ㅊㄱ
출발,2,ㅊㅂ
출산,2,ㅊㅅ
출신,2,ㅊㅅ
출연,2,ㅊㅇ
출입,2,ㅊㅇ
출장,2,ㅊㅈ
출판,2,ㅊㅍ
춥다,2,ㅊㄷ
충격,2,ㅊㄱ
충고,2,ㅊㄱ
충돌,2,ㅊㄷ
취미,2,ㅊㅁ
취소,2,ㅊㅅ
취업,2,ㅊㅇ
취재,2,ㅊㅈ
취직,2,ㅊㅈ
취향,2,ㅊㅎ
치과,2,ㅊㄱ
치다,2,ㅊㄷ
치료,2,ㅊㄹ
치마,2,ㅊㅁ
치아,2,ㅊㅇ
치약,2,ㅊㅇ
치즈,2,ㅊㅈ
친구,2,ㅊㄱ
친절,2,ㅊㅈ
친정,2,ㅊㅈ
친척,2,ㅊㅊ
칠십,2,ㅊㅅ
칠월,2,ㅊㅇ
칠판,2,ㅊㅍ
침대,2,ㅊㄷ
침묵,2,ㅊㅁ
침실,2,ㅊㅅ
칫솔,2,ㅊㅅ
칭찬,2,ㅊㅊ
카드,2,ㅋㄷ
카레,2,ㅋㄹ
카페,2,ㅋㅍ
커튼,2,ㅋㅌ
커피,2,ㅋㅍ
컬러,2,ㅋㄹ
케첩,2,ㅋㅊ
켜다,2,ㅋㄷ
코끝,2,ㅋㄲ
코너,2,ㅋㄴ
코드,2,ㅋㄷ
코스,2,ㅋㅅ
코치,2,ㅋㅊ
코트,2,ㅋㅌ
코피,2,ㅋㅍ
콜라,2,ㅋㄹ
쾌감,2,ㅋㄱ
크기,2,ㅋㄱ
크다,2,ㅋㄷ
크림,2,ㅋㄹ
큰길,2,ㅋㄱ
큰딸,2,ㅋㄸ
큰일,2,ㅋㅇ
큰절,2,ㅋㅈ
클럽,2,ㅋㄹ
키스,2,ㅋㅅ
킬로,2,ㅋㄹ
타다,2,ㅌㄷ
타락,2,ㅌㄹ
타입,2,ㅌㅇ
탁구,2,ㅌㄱ
탁자,2,ㅌㅈ
탄생,2,ㅌㅅ
태도,2,ㅌㄷ
태아,2,ㅌㅇ
태양,2,ㅌㅇ
태풍,2,ㅌㅍ
택시,2,ㅌㅅ
터널,2,ㅌㄴ
털다,2,ㅌㄷ
테러,2,ㅌㄹ
토끼,2,ㅌㄲ
토대,2,ㅌㄷ
토론,2,ㅌㄹ
통계,2,ㅌㄱ
통과,2,ㅌㄱ
통로,2,ㅌㄹ
통신,2,ㅌㅅ
통역,2,ㅌㅇ
통일,2,ㅌㅇ
통장,2,ㅌㅈ
통제,2,ㅌㅈ
통증,2,ㅌㅈ
통합,2,ㅌㅎ
통화,2,ㅌㅎ
퇴근,2,ㅌㄱ
퇴원,2,ㅌㅇ
투자,2,ㅌㅈ
투표,2,ㅌㅍ
튀김,2,ㅌㄱ
튀다,2,ㅌㄷ
트럭,2,ㅌㄹ
특급,2,ㅌㄱ
특별,2,ㅌㅂ
특성,2,ㅌㅅ
특수,2,ㅌㅅ
특징,2,ㅌㅈ
특히,2,ㅌㅎ
틀다,2,ㅌㄷ
파다,2,ㅍㄷ
파도,2,ㅍㄷ
파리,2,ㅍㄹ
파일,2,ㅍㅇ
파티,2,ㅍㅌ
판결,2,ㅍㄱ
판단,2,ㅍㄷ
판매,2,ㅍㅁ
판사,2,ㅍㅅ
팔다,2,ㅍㄷ
팔십,2,ㅍㅅ
팔월,2,ㅍㅇ
팝송,2,ㅍㅅ
패션,2,ㅍㅅ
팩스,2,ㅍㅅ
팬티,2,ㅍㅌ
펴다,2,ㅍㄷ
편견,2,ㅍㄱ
편의,2,ㅍㅇ
편지,2,ㅍㅈ
편히,2,ㅍㅎ
평가,2,ㅍㄱ
평균,2,ㅍㄱ
평생,2,ㅍㅅ
평소,2,ㅍㅅ
평양,2,ㅍㅇ
평일,2,ㅍㅇ
평화,2,ㅍㅎ
폐지,2,ㅍㅈ
포도,2,ㅍㄷ
포장,2,ㅍㅈ
포크,2,ㅍㅋ
포함,2,ㅍㅎ
폭력,2,ㅍㄹ
표면,2,ㅍㅁ
표시,2,ㅍㅅ
표정,2,ㅍㅈ
표준,2,ㅍㅈ
표현,2,ㅍㅎ
푸다,2,ㅍㄷ
풀다,2,ㅍㄷ
품다,2,ㅍㄷ
품목,2,ㅍㅁ
품질,2,ㅍㅈ
풍경,2,ㅍㄱ
풍속,2,ㅍㅅ
풍습,2,ㅍㅅ
프로,2,ㅍㄹ
피곤,2,ㅍㄱ
피다,2,ㅍㄷ
피디,2,ㅍㄷ
피로,2,ㅍㄹ
피망,2,ㅍㅁ
피부,2,ㅍㅂ
피시,2,ㅍㅅ
피자,2,ㅍㅈ
피해,2,ㅍㅎ
필름,2,ㅍㄹ
필수,2,ㅍㅅ
필요,2,ㅍㅇ
필자,2,ㅍㅈ
필통,2,ㅍㅌ
핑계,2,ㅍㄱ
하긴,2,ㅎㄱ
하나,2,ㅎㄴ
하늘,2,ㅎㄴ
하다,2,ㅎㄷ
하도,2,ㅎㄷ
하루,2,ㅎㄹ
하순,2,ㅎㅅ
하천,2,ㅎㅊ
하품,2,ㅎㅍ
하필,2,ㅎㅍ
하하,2,ㅎㅎ
학과,2,ㅎㄱ
학교,2,ㅎㄱ
학급,2,ㅎㄱ
학기,2,ㅎㄱ
학년,2,ㅎㄴ
학력,2,ㅎㄹ
학번,2,ㅎㅂ
학비,2,ㅎㅂ
학생,2,ㅎㅅ
학술,2,ㅎㅅ
학습,2,ㅎㅅ
학원,2,ㅎㅇ
학위,2,ㅎㅇ
학자,2,ㅎㅈ
학점,2,ㅎㅈ
한강,2,ㅎㄱ
한결,2,ㅎㄱ
한계,2,ㅎㄱ
한국,2,ㅎㄱ
한글,2,ㅎㄱ
한낮,2,ㅎㄴ
한눈,2,ㅎㄴ
한데,2,ㅎㄷ
한두,2,ㅎㄷ
한둘,2,ㅎㄷ
한때,2,ㅎㄸ
한문,2,ㅎㅁ
한번,2,ㅎㅂ
한복,2,ㅎㅂ
한숨,2,ㅎㅅ
한식,2,ㅎㅅ
한자,2,ㅎㅈ
한잔,2,ㅎㅈ
한쪽,2,ㅎㅉ
한참,2,ㅎㅊ
한창,2,ㅎㅊ
한층,2,ㅎㅊ
한편,2,ㅎㅍ
할인,2,ㅎㅇ
함께,2,ㅎㄲ
합격,2,ㅎㄱ
항공,2,ㅎㄱ
항구,2,ㅎㄱ
항상,2,ㅎㅅ
항의,2,ㅎㅇ
해결,2,ㅎㄱ
해군,2,ㅎㄱ
해답,2,ㅎㄷ
해당,2,ㅎㄷ
해물,2,ㅎㅁ
해석,2,ㅎㅅ
해설,2,ㅎㅅ
해소,2,ㅎㅅ
해안,2,ㅎㅇ
해외,2,ㅎㅇ
핵심,2,ㅎㅅ
햇볕,2,ㅎㅂ
햇빛,2,ㅎㅂ
햇살,2,ㅎㅅ
행동,2,ㅎㄷ
행복,2,ㅎㅂ
행사,2,ㅎㅅ
행운,2,ㅎㅇ
행위,2,ㅎㅇ
향기,2,ㅎㄱ
향상,2,ㅎㅅ
향수,2,ㅎㅅ
허가,2,ㅎㄱ
허락,2,ㅎㄹ
허리,2,ㅎㄹ
허용,2,ㅎㅇ
허허,2,ㅎㅎ
헬기,2,ㅎㄱ
현관,2,ㅎㄱ
현금,2,ㅎㄱ
현대,2,ㅎㄷ
현상,2,ㅎㅅ
현실,2,ㅎㅅ
현장,2,ㅎㅈ
현재,2,ㅎㅈ
현지,2,ㅎㅈ
혈액,2,ㅎㅇ
협력,2,ㅎㄹ
형님,2,ㅎㄴ
형부,2,ㅎㅂ
형사,2,ㅎㅅ
형성,2,ㅎㅅ
형수,2,ㅎㅅ
형식,2,ㅎㅅ
형제,2,ㅎㅈ
형태,2,ㅎㅌ
형편,2,ㅎㅍ
혜택,2,ㅎㅌ
호남,2,ㅎㄴ
호박,2,ㅎㅂ
호선,2,ㅎㅅ
호수,2,ㅎㅅ
호실,2,ㅎㅅ
호주,2,ㅎㅈ
호텔,2,ㅎㅌ
호흡,2,ㅎㅎ
혹시,2,ㅎㅅ
혹은,2,ㅎㅇ
혼자,2,ㅎㅈ
홀로,2,ㅎㄹ
홍보,2,ㅎㅂ
홍수,2,ㅎㅅ
홍차,2,ㅎㅊ
화가,2,ㅎㄱ
화면,2,ㅎㅁ
화분,2,ㅎㅂ
화살,2,ㅎㅅ
화장,2,ㅎㅈ
화재,2,ㅎㅈ
화제,2,ㅎㅈ
화학,2,ㅎㅎ
확보,2,ㅎㅂ
확신,2,ㅎㅅ
확인,2,ㅎㅇ
확장,2,ㅎㅈ
확정,2,ㅎㅈ
환갑,2,ㅎㄱ
환경,2,ㅎㄱ
환영,2,ㅎㅇ
환율,2,ㅎㅇ
환자,2,ㅎㅈ
활기,2,ㅎㄱ
활동,2,ㅎㄷ
활용,2,ㅎㅇ
활짝,2,ㅎㅉ
회견,2,ㅎㄱ
회관,2,ㅎㄱ
회복,2,ㅎㅂ
회사,2,ㅎㅅ
회색,2,ㅎㅅ
회원,2,ㅎㅇ
회의,2,ㅎㅇ
회장,2,ㅎㅈ
회전,2,ㅎㅈ
회화,2,ㅎㅎ
횟수,2,ㅎㅅ
효과,2,ㅎㄱ
효도,2,ㅎㄷ
효자,2,ㅎㅈ
후기,2,ㅎㄱ
후반,2,ㅎㅂ
후배,2,ㅎㅂ
후보,2,ㅎㅂ
후회,2,ㅎㅎ
훈련,2,ㅎㄹ
훨씬,2,ㅎㅆ
휴가,2,ㅎㄱ
휴식,2,ㅎㅅ
휴일,2,ㅎㅇ
휴지,2,ㅎㅈ
흉내,2,ㅎㄴ
흐름,2,ㅎㄹ
흑백,2,ㅎㅂ
흑인,2,ㅎㅇ
흔적,2,ㅎㅈ
흔히,2,ㅎㅎ
흥미,2,ㅎㅁ
흥분,2,ㅎㅂ
희곡,2,ㅎㄱ
희다,2,ㅎㄷ
희망,2,ㅎㅁ
희생,2,ㅎㅅ
흰색,2,ㅎㅅ
힘껏,2,ㅎㄲ
가까이,3,ㄱㄲㅇ
가깝다,3,ㄱㄲㄷ
가꾸다,3,ㄱㄲㄷ
가늘다,3,ㄱㄴㄷ
가능성,3,ㄱㄴㅅ
가득히,3,ㄱㄷㅎ
가로등,3,ㄱㄹㄷ
가로수,3,ㄱㄹㅅ
가르다,3,ㄱㄹㄷ
가르침,3,ㄱㄹㅊ
가리다,3,ㄱㄹㄷ
가만히,3,ㄱㅁㅎ
가볍다,3,ㄱㅂㄷ
가슴속,3,ㄱㅅㅅ
가운데,3,ㄱㅇㄷ
가이드,3,ㄱㅇㄷ
가입자,3,ㄱㅇㅈ
가지다,3,ㄱㅈㄷ
가치관,3,ㄱㅊㄱ
가톨릭,3,ㄱㅌㄹ
가하다,3,ㄱㅎㄷ
간단히,3,ㄱㄷㅎ
간신히,3,ㄱㅅㅎ
간접적,3,ㄱㅈㅈ
간호사,3,ㄱㅎㅅ
갇히다,3,ㄱㅎㄷ
갈비탕,3,ㄱㅂㅌ
갈수록,3,ㄱㅅㄹ
감동적,3,ㄱㄷㅈ
감수성,3,ㄱㅅㅅ
감싸다,3,ㄱㅆㄷ
감정적,3,ㄱㅈㅈ
감추다,3,ㄱㅊㄷ
갑자기,3,ㄱㅈㄱ
값싸다,3,ㄱㅆㄷ
강력히,3,ㄱㄹㅎ
강수량,3,ㄱㅅㄹ
강아지,3,ㄱㅇㅈ
강원도,3,ㄱㅇㄷ
강하다,3,ㄱㅎㄷ
갖가지,3,ㄱㄱㅈ
갖추다,3,ㄱㅊㄷ
개개인,3,ㄱㄱㅇ
개구리,3,ㄱㄱㄹ
개나리,3,ㄱㄴㄹ
개인적,3,ㄱㅇㅈ
객관적,3,ㄱㄱㅈ
거꾸로,3,ㄱㄲㄹ
거두다,3,ㄱㄷㄷ
거들다,3,ㄱㄷㄷ
거짓말,3,ㄱㅈㅁ
거치다,3,ㄱㅊㄷ
거칠다,3,ㄱㅊㄷ
건너다,3,ㄱㄴㄷ
건너편,3,ㄱㄴㅍ
건넌방,3,ㄱㄴㅂ
건네다,3,ㄱㄴㄷ
건지다,3,ㄱㅈㄷ
걸리다,3,ㄱㄹㄷ
걸치다,3,ㄱㅊㄷ
검은색,3,ㄱㅇㅅ
검정색,3,ㄱㅈㅅ
겁나다,3,ㄱㄴㄷ
게다가,3,ㄱㄷㄱ
게시판,3,ㄱㅅㅍ
겨울철,3,ㄱㅇㅊ
견디다,3,ㄱㄷㄷ
결과적,3,ㄱㄱㅈ
결혼식,3,ㄱㅎㅅ
경기도,3,ㄱㄱㄷ
경기장,3,ㄱㄱㅈ
경복궁,3,ㄱㅂㄱ
경상도,3,ㄱㅅㄷ
경쟁력,3,ㄱㅈㄹ
경제력,3,ㄱㅈㄹ
경제적,3,ㄱㅈㅈ
경제학,3,ㄱㅈㅎ
경찰관,3,ㄱㅊㄱ
경찰서,3,ㄱㅊㅅ
계산기,3,ㄱㅅㄱ
계시다,3,ㄱㅅㄷ
고구려,3,ㄱㄱㄹ
고구마,3,ㄱㄱㅁ
고르다,3,ㄱㄹㄷ
고맙다,3,ㄱㅁㄷ
고모부,3,ㄱㅁㅂ
고무신,3,ㄱㅁㅅ
고양이,3,ㄱㅇㅇ
고추장,3,ㄱㅊㅈ
고치다,3,ㄱㅊㄷ
고프다,3,ㄱㅍㄷ
곧바로,3,ㄱㅂㄹ
곧이어,3,ㄱㅇㅇ
골고루,3,ㄱㄱㄹ
골목길,3,ㄱㅁㄱ
골짜기,3,ㄱㅉㄱ
골프장,3,ㄱㅍㅈ
공무원,3,ㄱㅁㅇ
공식적,3,ㄱㅅㅈ
공연장,3,ㄱㅇㅈ
공연히,3,ㄱㅇㅎ
공통적,3,ㄱㅌㅈ
공통점,3,ㄱㅌㅈ
공휴일,3,ㄱㅎㅇ
과학자,3,ㄱㅎㅈ
과학적,3,ㄱㅎㅈ
관계자,3,ㄱㄱㅈ
